# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myPDF[1] c_myPDF[2] c_myPDF[3]
100000 1000
464 4.635 0.905967 10.1345
465 4.645 0.890536 10.1822
466 4.655 0.875996 10.2292
467 4.665 0.85578 10.2754
468 4.675 0.844119 10.3211
469 4.685 0.82704 10.3661
470 4.695 0.812683 10.4105
471 4.705 0.795222 10.4542
472 4.715 0.784075 10.4974
473 4.725 0.765924 10.5398
474 4.735 0.752005 10.5816
475 4.745 0.74342 10.623
476 4.755 0.72471 10.6637
477 4.765 0.712134 10.7037
478 4.775 0.704907 10.7436
479 4.785 0.693629 10.783
480 4.795 0.683599 10.8219
481 4.805 0.672506 10.8604
482 4.815 0.660162 10.8983
483 4.825 0.650252 10.9359
484 4.835 0.642127 10.9731
485 4.845 0.633202 11.0099
486 4.855 0.625746 11.0465
487 4.865 0.616616 11.0827
488 4.875 0.606873 11.1184
489 4.885 0.599648 11.1539
490 4.895 0.593574 11.1892
491 4.905 0.586588 11.2241
492 4.915 0.580027 11.2589
493 4.925 0.568845 11.2931
494 4.935 0.563783 11.3271
495 4.945 0.55668 11.3609
496 4.955 0.553392 11.3945
497 4.965 0.54746 11.428
498 4.975 0.542686 11.4613
499 4.985 0.534838 11.4942
500 4.995 0.529362 11.527
501 5.005 0.527455 11.5597
502 5.015 0.522947 11.5923
503 5.025 0.513979 11.6245
504 5.035 0.509081 11.6565
505 5.045 0.505497 11.6884
506 5.055 0.503615 11.7203
507 5.065 0.502079 11.7522
508 5.075 0.498436 11.784
509 5.085 0.492653 11.8156
510 5.095 0.486921 11.847
511 5.105 0.488061 11.8785
512 5.115 0.482952 11.9098
513 5.125 0.481333 11.9411
514 5.135 0.480216 11.9725
515 5.145 0.477043 12.0038
516 5.155 0.477566 12.0353
517 5.165 0.478035 12.0669
518 5.175 0.476594 12.0986
519 5.185 0.473661 12.1301
520 5.195 0.471796 12.1617
521 5.205 0.46803 12.1931
522 5.215 0.465384 12.2245
523 5.225 0.458482 12.2555
524 5.235 0.458604 12.2867
525 5.245 0.459972 12.318
526 5.255 0.455529 12.3492
527 5.265 0.451899 12.3803
528 5.275 0.452371 12.4115
529 5.285 0.45182 12.4428
530 5.295 0.450951 12.4741
531 5.305 0.449498 12.5055
532 5.315 0.449926 12.537
533 5.325 0.450018 12.5686
534 5.335 0.448346 12.6002
535 5.345 0.447035 12.6319
536 5.355 0.448054 12.6637
537 5.365 0.446835 12.6956
538 5.375 0.447238 12.7277
539 5.385 0.450641 12.7601
540 5.395 0.452292 12.7927
541 5.405 0.45325 12.8255
542 5.415 0.456469 12.8587
543 5.425 0.45458 12.8919
544 5.435 0.4541 12.9251
545 5.445 0.454717 12.9585
546 5.455 0.456494 12.9922
547 5.465 0.453238 13.0258
548 5.475 0.457403 13.0597
549 5.485 0.460688 13.0941
550 5.495 0.459218 13.1285
551 5.505 0.45813 13.1629
552 5.515 0.460778 13.1976
553 5.525 0.462507 13.2326
554 5.535 0.463389 13.2678
555 5.545 0.464381 13.3032
556 5.555 0.465545 13.3388
557 5.565 0.469043 13.3748
558 5.575 0.472752 13.4113
559 5.585 0.4755 13.448
560 5.595 0.473128 13.4847
561 5.605 0.473943 13.5217
562 5.615 0.4785 13.5591
